100	 0.001471	 0.000793	 0.000701	 0.000346
200	 0.005831	 0.003106	 0.002717	 0.000561
300	 0.013198	 0.007062	 0.006125	 0.000954
400	 0.025268	 0.012575	 0.010908	 0.001259
500	 0.042147	 0.020027	 0.017275	 0.001616
600	 0.062128	 0.028847	 0.02331	 0.00216
700	 0.076973	 0.039512	 0.029467	 0.002533
800	 0.100697	 0.051698	 0.039112	 0.002861
900	 0.127025	 0.066761	 0.049537	 0.00325
1000	 0.157416	 0.106851	 0.061579	 0.003659
1100	 0.19373	 0.100887	 0.074425	 0.004127
1200	 0.210665	 0.113948	 0.089813	 0.004587
1300	 0.245594	 0.134592	 0.104324	 0.004995
1400	 0.285219	 0.16174	 0.12046	 0.005352
1500	 0.338808	 0.191449	 0.136512	 0.005897
1600	 0.385409	 0.214938	 0.158992	 0.006295
1700	 0.434579	 0.325484	 0.186515	 0.006851
1800	 0.501146	 0.308833	 0.213704	 0.007331
1900	 0.557668	 0.306725	 0.225647	 0.007838
2000	 0.604858	 0.33803	 0.286177	 0.008219
