100	 0.001759	 0.00081	 0.00054	 0.000337	 0.00045
200	 0.006016	 0.00298	 0.002241	 0.000623	 0.001052
300	 0.014147	 0.006724	 0.005224	 0.000953	 0.00166
400	 0.024457	 0.011956	 0.009308	 0.001312	 0.002393
500	 0.039773	 0.019192	 0.015501	 0.001661	 0.003099
600	 0.058386	 0.027801	 0.022515	 0.002253	 0.003796
700	 0.07892	 0.038854	 0.030682	 0.002364	 0.00463
800	 0.104278	 0.059187	 0.039546	 0.002893	 0.005442
900	 0.130822	 0.07029	 0.051483	 0.003253	 0.006187
1000	 0.16073	 0.088553	 0.070035	 0.003669	 0.007014
1100	 0.19464	 0.103533	 0.079148	 0.004202	 0.007874
1200	 0.230912	 0.122921	 0.089886	 0.004551	 0.008741
1300	 0.276772	 0.150637	 0.106011	 0.005083	 0.009589
1400	 0.307162	 0.161469	 0.122187	 0.005488	 0.010465
1500	 0.33901	 0.196834	 0.149441	 0.005975	 0.011268
1600	 0.387553	 0.227684	 0.170533	 0.006452	 0.01199
1700	 0.437515	 0.255894	 0.194206	 0.006927	 0.012588
1800	 0.498536	 0.267958	 0.216199	 0.007403	 0.013533
1900	 0.54644	 0.284302	 0.238438	 0.007833	 0.014867
2000	 0.613569	 0.325321	 0.249018	 0.008348	 0.015975
