100	 0.000661	 0.000406	 0.000494	 0.000186
200	 0.00296	 0.001094	 0.001989	 0.00051
300	 0.007202	 0.002711	 0.004924	 0.000649
400	 0.017417	 0.005564	 0.008681	 0.000876
500	 0.022647	 0.011283	 0.014321	 0.001168
600	 0.032413	 0.012464	 0.019961	 0.001835
700	 0.044291	 0.016297	 0.028304	 0.00171
800	 0.060063	 0.021184	 0.037543	 0.00222
900	 0.072488	 0.028096	 0.050844	 0.002264
1000	 0.088227	 0.034463	 0.059022	 0.002656
1100	 0.106159	 0.039039	 0.065346	 0.002942
1200	 0.133478	 0.049374	 0.076895	 0.003132
1300	 0.147343	 0.055719	 0.095095	 0.003673
1400	 0.181291	 0.058402	 0.113128	 0.003854
1500	 0.217799	 0.065986	 0.131709	 0.004147
1600	 0.245574	 0.076018	 0.141999	 0.004488
1700	 0.257312	 0.083175	 0.169181	 0.004738
1800	 0.350456	 0.092592	 0.191254	 0.005275
1900	 0.350697	 0.109055	 0.199135	 0.005395
2000	 0.381321	 0.123466	 0.220659	 0.005912
