100	0.00046277	4.888e-05	6.437e-05
200	0.00123096	8.726e-05	8.368e-05
300	0.00273848	0.00013089	0.00012326
400	0.00493145	0.000175	0.00016475
500	0.01359129	0.00024986	0.00020576
600	0.01029968	0.00028253	0.00024652
700	0.01758385	0.00072694	0.00037456
800	0.02045345	0.00041676	0.00032043
900	0.02488995	0.00047064	0.0003581
1000	0.02995944	0.00052595	0.00041175
1100	0.03640079	0.00090027	0.00087953
1200	0.04397964	0.00084543	0.000633
1300	0.05272746	0.00116253	0.00053358
1400	0.06086898	0.00074744	0.00085473
1500	0.08127904	0.00086999	0.00062537
1600	0.08248901	0.00082231	0.00064158
1700	0.09750271	0.00087762	0.00067258
1800	0.11827564	0.00130224	0.00100756
1900	0.13799405	0.00097156	0.0008204
2000	0.14216518	0.00100946	0.00086164
